,Comentarios,Idioma,TweetPre
2188,nunca habia estado tan ansiosa por esperar una notificación,es,nunca habia ansiosa esperar notificacion
2196,avisaron que ire presencial jajaja facultad estoy muy feliz pero preocupada jajaja vez por los contagios,es,avisaron presencial jajaja facultad feliz preocupada jajaja contagios
2198,estoy triste pero mismo tiempo feliz porque pude comerte esa boquita una ultima vez,es,triste mismo tiempo feliz pude comerte boquita ultima
2200,puedo quejarme tantas veces trabajo porque cansado jajaja hasta frustrante pero cuando ven jajaja alguien quien confiar cuentan sus dias dificiles vuelvo jajaja amar carrera trabajo relación amor odio,es,puedo quejarme tantas veces trabajo cansado jajaja frustrante jajaja alguien confiar cuentan dia dificiles vuelvo jajaja amar carrera trabajo relacion amor odio
2205,hoy baja carrera como sentirme respecto bueno estoy triste,es,baja carrera sentirme respecto bueno triste
2208,las personas con depresion usan lenguaje muy identificable detectándolo puedes ayudarlas,es,persona depresion usan lenguaje identificable detectandolo puedes ayudarlas
2209,millon votos los indecisos aun sabiendo que nivel intención voto para sigue arriba del osea repetir formula las elecciones jugamos jajaja negar luego llorar como llevan haciendo por anos con esa formula perdio elecciones entienden,es,millon votos indecisos sabiendo nivel intencion voto sigue arriba osea repetir formula elecciones jugamos jajaja negar luego llorar llevan haciendo ano formula perdio elecciones entienden
2210,hoy levante muy triste por que cometi error trabajo pense que iban jajaja correr afortunadamente pude corregir ahora estoy mas triste por que tengo que seguir trabajando,es,levante triste cometi error trabajo pense iban jajaja correr afortunadamente pude corregir ahora triste seguir trabajando
2211,poco cansado pero mejor ahora,es,cansado mejor ahora
2212,cansada este sufrimiento llamado canta odia haileefobico,es,cansada sufrimiento llamado cantv odia haileefobico
2215,tengo una tinnitus muy rara molesta puedo saber cual causa porque tanto ansiedad como hipotiroidismo como problema tempora mandibular pueden causar tengo las tres cosas,es,tinitus rara molesta puedo saber causa ansiedad hipotiroidismo problema temporo mandibular pueden causar tres cosas
2216,ando bien cansado al ahi voy,es,ando bien cansado
2217,llorar frustración peor que llorar por enojo,es,llorar frustracion peor llorar enojo
2218,fua como zona safari esa del pero mas vacia aun pocas ganas aprovechar potencial consola por info sora,es,zona safari vacia pocas ganas aprovechar potencial consola info sora
2223,perdio lucas tamarindo estoy muy triste ahora quede con antojo,es,perdio lucas tamarindo triste ahora quede antojo
2224,jajaja que dijo alvaro que era nominada puso jajaja llorar,es,jajaja dijo alvaro nominada puso jajaja llorar
2225,tienen cansada tanto cortar internet estresante son dios dar baja uno otro peor pm,es,cansada cortar internet estresante dios baja peor
2228,prometi llorar mas espejismo alfamental teamverano hiphopmusic escuchalo completo,es,prometi llorar espejismo alfamental teamverano hiphopmusic escuchalo completo
2234,que triste hipocresia,es,triste hipocresia
2244,recien entre stream triste cuenta,es,recien stream triste cuenta
2246,llevo diez dias cumpliendo anos hoy dieron sorpresa que hizo llorar atacada que vida siempre nos sorprenda,es,llevo diez dia cumpliendo ano dieron sorpresa hizo llorar atacada vida siempre sorprenda
2248,estoy cansado esta conversación con debido respeto retiro mucha suerte con voto ambos nos vemos los resultados primera segunda vuelta abrazo,es,cansado conversacion debido respeto retiro mucha suerte voto ambo vemos resultados primera segunda vuelta abrazo
2250,pase por una depresion cual estoy muy orgullosa haber salido adelante vivan vida gente jodan jajaja los mas todo vuelve,es,pase depresion orgullosa haber salido adelante vivan vida gente jodan jajaja vuelve
2251,triste,es,triste
2252,tengo que hablar con misma persona que hace llorar verdad,es,hablar misma persona hace llorar verdad
2254,lee muy lindo ser biologa reproducción humana voy jajaja llorar,es,lindo biologa reproduccion humana jajaja llorar
2255,una opinion muy acertada llena motivo muy poder ooo para emitirla verdad chechena hasta donde esta llevando hambre muy preocupada por futuro quien exhibe las mañaneras asi mas hipocrita,es,opinion acertada llena motivo podero emitirla verdad chuchena llevando hambre preocupada futuro exhibe mananeras hipocrita
2258,felices ansiosa por manana cumplir anos,es,felices ansiosa manana cumplir ano
2259,nunca hago porque llega jajaja pasar que alguien aleje largo jajaja llorar,es,nunca hago llega jajaja pasar alguien aleje largo jajaja llorar
2260,que triste pero piensa que jajaja sufrir quedate con bueno que dejo piensa tan bien que han pasado juntos recuerdale que quisiste mucho mucho animo preocupes que estara bien donde sea que este mando fuerte abrazo,es,triste piensa jajaja sufrir quedate bueno dejo piensa bien pasado junto recuerdale quisiste animo preocupes estara bien mando fuerte abrazo
2265,triste esto llamado tener cuenta bubble para seguir jajaja giselle,es,triste llamado tener cuenta bubble seguir jajaja giselle
2266,porque nervioso warrior vayan mundial importa jajaja ganar mundial ahorita anos jajaja mas que puede aspirar pasar partido,es,nervioso warrior vayan mundial importa jajaja ganar mundial ahorita ano jajaja puede aspirar pasar partido
2267,soy persona mas ansiosa que existe,es,persona ansiosa existe
2268,que tan triste dejar jajaja una persona que amas duele alma juro,es,triste dejar jajaja persona amas duele alma juro
2269,quiero llorar sale,es,quiero llorar sale
2270,simone queda cada vez peor esta acabado agotado atleta durisimo chiringuitocopa,es,simeone queda cada peor acabado agotado atleti durisimo chiringuitocopa
2273,que puede hacer somos muchos los enojados diria abrumados agobiados pero hay que seguir clase media esta preocupada por caer aun mas,es,puede hacer enojados diria abrumados agobiados seguir clase medium preocupada caer
2274,estoy estresando porque con quien hacer penal como acomodar mis horarios que falta pero soy ansioso mierda,es,estresando hacer penal acomodar horarios falta ansioso mierda
2279,estoy muy triste vos,es,triste
2282,jajaja joder jajaja grande quien cono crees que eres voy jajaja llorar mantente loco feo culo sin polla teniendo abuelo por eso dieron circimizied jajaja mitad muerte,es,jajaja joder jajaja grande cono cree jajaja llorar mantente loco culo polla abuelo dieron circimizied jajaja mitad muerte
2283,ocupes esa piltrafa solo busca atención retrasado lleva una vida vacia sin sentido jajaja tuyo eso vale demasiado importante,es,ocupes piltrafa solo busca atencion retrasado lleva vida vacia jajaja vale demasiado importante
2285,infierno esta vacio todos los demonios estan aqui,es,infierno vacio demonios estan aqui
2286,que triste hace tener todo dia cabeza pensando algo que triste hace tener dolor pecho sentir vacio increible todos los dias que triste,es,triste hace tener cabeza pensando triste hace tener dolor pecho sentir vacio increible dia triste
2288,increible esto triste imaginar cuantos hombres estaran pensando aplicarlo con sus parejas tremenda idea les dio,es,increible triste imaginar cuantos hombre estaran pensando aplicarlo parejas tremenda idea
2289,parece muy triste quiere saber nada mas tendria que importarle una mierda que haga diga cuando paso mas que mierda,es,parece triste quiere saber tendria importarle mierda haga diga paso mierda
2299,muy cansado tuyo,es,cansado
2302,que estres sufrir ansiedad verdad,es,estres sufrir ansiedad verdaddd
2306,jajaja milagrito vos llegas jajaja los talones vinacho triste,es,jajaja milagrito llegas jajaja talones viejacho triste
2307,estoy poco triste gracias por aparecer hacerme feliz como estas,es,triste gracias aparecer hacerme feliz
2309,mafersita amo tanto siempre viene momento correcto cuando mas necesito que haria sin vida voy jajaja llorar,es,mafersita siempre viene momento correcto necesito haria vida jajaja llorar
2311,gran parte los comentarios este tweet son defender ideologia pendejos que viven alcantarilla llamandolo poco hombre por que sufre violencia demas cosas estan olvidando del proposito este tweet verdad triste,es,gran parte comentarios tweet defender ideologia pendejos viven alcantarilla llamandolo hombre sufre violencia demas cosas estan olvidando proposito tweet verdad triste
2312,unico hago llorar llorar,es,unico hago llorar llorar
2313,vale quiero llorar,es,vale quiero llorar
2314,recuerden amigos permiten llorar sentir solo acumulan estres van jajaja terminar con hernias cervicales como,es,recuerden amigo permiten llorar sentir solo acumulan estres jajaja terminar hernia cervicales
2316,solo dios quita ansiedad,es,solo dios quita ansiedad
2317,triste ver como algo tan bonito que imaginaste mente destruye realidad,es,triste bonito imaginaste mente destruye realidad
2325,comida sabe igual cuando estas preocupada,es,comida sabe igual preocupada
2327,claro que puedo con todo pero primero voy jajaja llorar,es,claro puedo primero jajaja llorar
2329,pero serio dia estado triste,es,serio triste
2330,como deja llorar,es,deja llorar
2331,diablo ganas llorar cada vez que pienso ipad,es,diablo ganas llorar cada pienso ipad
2335,hoy fue ultimo dia que veo jajaja los ilesa puedo explicar triste que senti los voy jajaja extranar mucho por que explicaban todo muy bonito jajaja demas hicieron mis primeros dias trabajo muy interesantes,es,ultimo jajaja inesa puedo explicar triste sent jajaja extranar explicaban bonito jajaja demas hicieron primeros dia trabajo interesantes
2336,siento triste porque estas aqui quisiera compartir contigo tanto las cosas buenas como las tan buenas,es,siento triste aqui quisiera compartir contigo cosas buenas buenas
2337,tenes cansada sabes,es,tenes cansada sabes
2339,voy jajaja llorar todo culpa,es,jajaja llorar culpq
2340,proxima vez que esta flaca diga que estoy victimizado cuando realidad estoy teniendo ataque ansiedad cago bien jajaja trompadas,es,proxima flaca diga victimizando realidad ataque ansiedad cago bien jajaja trompadas
2343,que triste solo coincidimos selim decir ryan miran,es,triste solo coincidimos selim demir reyyan miran
2345,cansado que anochezca jajaja las tres tarde london entiendo,es,cansado anochezca jajaja tres tarde london entiendo
2346,ausencia sus padres cuesta creer todo acoso que tenido desde muy nino como believer siento enojada triste muy decepcionada que hayan preocupado por salud mental fisica,es,usencia padre cuesta creer acoso nino belieber siento enojada triste decepcionada preocupado salud mental fisica
2347,sobrevivo por pura ansiedad,es,sobrevivo pura ansiedad
2349,depresion que cargo,es,depresion cargo
2350,estoy muy triste vos,es,triste
2359,juega grandes desafios para subir rapido las cartas asi dejas llorar,es,juega grandes desafios subir rapido cartas dejas llorar
2361,cada vez que recuerdo esa canción dan ganas llorar,es,cada recuerdo cancion ganas llorar
2362,lei yasumi punzón con musica triste fondo,es,oyasumi punpun musica triste fondo
2363,ufff que suerte que algunos nos cogio asintomático aunque los efectos jajaja largo plazo aun sienten sabor diferente algunas cosas ataques ansiedad repentinos comida,es,ufff suerte cogio asintomaticos aunque efectos jajaja largo plazo sienten sabor diferente cosas ataques ansiedad repentinos covid
2364,mas triste que defienda jajaja maltratador con antecedentes penales jimmy jajaja pegarse seguiria vivo maltratando delinquiendo pegándose con otros grupos ultras que maten entre ellos,es,triste defienda jajaja maltratador antecedentes penales jimmy jajaja pegarse seguiria vivo maltratando delinquiendo pegandose grupos ultras maten
2365,acabe exposición pero jajaja traves trabajo duro cansado extendido ojala nahi del futuro haga los deberes con tiempo,es,acabe exposicion jajaja trave trabajo duro cansado extendido ojala anahi futuro haga deberes tiempo
2366,mejor guerrera unico que quiero llorar,es,mejor guerrera unico quiero llorar
2368,estoy tan triste entere que extrano jajaja los chicos quieren que vengan los extrano uhhh mejor voy jajaja ganar llorar,es,triste entere extrano jajaja chico quieren vengan extrano uhhh mejor jajaja banar llorar
2371,bro cuando estaba sin trabajo sentia inutil inservible desmotivado pero bro culpa uno uno hace todo posible por buscar ese trabajo cuestion situación actual animo que con tiempo podra,es,trabajo sentia inutil inservible desmotivado culpa hace posible buscar trabajo cuestion situacion actual animo tiempo podra
