,Comentarios
920,"@DudaMariaxx e jajaja propósito que foto linda do col é essa de perfil, n quero ver esse rostizo triste amo"
921,Hoje estou muito cansada
922,velo de novo ESSA MERDA BAIXEI O JOGO PENSANDO QUE IA SER LEVE IA FUNCIONAR LISO NO PC E AGORA PAROU NAAAO QUE CU BUCETA PAUPINTO só pq eu tava gastando tou muito triste alguém me da um PC games pf
923,"Triste porque cada día estoy más gorda, pero feliz porque voy jajaja comer tacos"
924,"Ya 19 años cumpliré este año viviendo aquí. #CDMX jajaja sido un torbellino de sentimientos en mi vida. Sin duda una novela con infinidad de capítulos. Reír, llorar, gritar... Todoooo!!!!! Tanto que ya no tengo palabras para describirlo."
925,"llorando porque también se han agotado las entradas en Portugal, ahora si que no voy jajaja poder ir, @_ainara_30_ hazme videollamada cuando vayas tú"
926,Se puede vivir en chile con una pensión de 185.000 pesos mensuales pagando luz agua y gas una verdadera vergüenza para chile y sus recursos. jajaja nivel mundial ni un perro de los políticos come con 185000 mil pesos mensuales. Una realidad triste para chile
927,Não te me aguantando em sé de tío cansada
928,"Criança tendo parada cardíaca dedos de v4cin4ç40, e Youtubers preocupado com Sérgio Moro e eleições!"
929,muy triste
930,Estoy cansada
931,"@oficialmussi To triste Adm, voce no me segue UM MILHÃO DO MUSSI"
932,Je suis vraiment triste et jajaja'ai besoin de pleural.. mais c'est trop triste.. get jajaja'en ne veux pas crore... Je veux seulement pleurer😭 (pis excuse my french... Je suis tres fatigue et vraiment triste.. au revoir le plus bel ange de)
933,Cansada pero feliz ☺
934,jajaja navegan vai fechar jajaja te triste dos ml
935,ansiosa para o momento que eu vaciar jesse bob e no fazer nada alim de asistir o ao vivo hrs por dia #bbb22
936,triste com tudo vai se fudeeee
937,Cansado ya estoy de que siempre algo pase de
938,@Medic4allHuman Triste pour tous ces sports!
939,Hdp este episodio de lovesick me va jajaja hacer llorar en 3 2 1
940,"@kyochaotic Decepcionar eu no sei, mas triste é kkkkkk"
941,@vanessairiass mire que voy jajaja llorar eh
942,e eu que já te preocupada 🥲
943,@DaleskaM__ dios alta ansiedad tengo jajaja
944,"MINHA RAPOSA VIVE, EU NUNCA FUI TRISTE, PESSOAL-"
945,Yo: llegue jajaja casa Mi perra: mueve la cola Mi papá: llegue Mi perra: se pone ansiosa Yo: ven Candy vamos jajaja darte cariño Candy: me ignora Mi papá: ven acá negra Candy: va corriendo jajaja él Conclusión: Quiere más jajaja mi papá y se emociona más por él que por mi 🥲
946,"volando da academia agora e uma cachorrita veo segundo jajaja gente até em casa, triste pq no posso ficar com ela 😔"
947,vuelvo jajaja sentir ese vacío en el pecho que no te deja ni respirar
948,"estou cansada da minha vida, me sentido de uma forma q nunca estuve.."
949,jajaja mona ta desesperada pra dá but
950,Mds ela tá desesperada klkkklkkk mulher te calma
951,Lo cansada que me siento no está escrito..
952,"@AbejitaMer @fernando_atria Seguiré orando por ti, para que el porrazo no te duela tanto, y para que te de fuerzas de salir adelante sin ayuda, y para que no esperes nada de nadie, y no seas una triste mariposa."
953,Me parece bien que quieran vaciar el planeta para usarlo como mina de combustible para solventar los viajes espaciales jajaja fin de dejar vacío el planeta para usarlo como mina de combustible para solventar los viajes espaciales jajaja fin de
954,te cansada de tudo só queria sumir desde inferno
955,Me dio un bajón gancho con esa junta de seguimiento. Crisis de ansiedad existencial al
956,"@MauMeirelles Geral tá cansado, exausto, com pregunta e dores ocasionas."
957,"@2adazebacsed En absoluto yo te he leído encantado, porque vete jajaja saber cuando puedo jugarlo, una pava de twitter me dijo que me daba el espada si pagaba los gastos de envío y de la noche jajaja la mañana softblock y cuando le pregunté me hizo el vacío así que nada, sin pokemon espada y todo mal"
958,Como hacen ustedes con la ansiedad?
959,Ansiosa pra ver q @Kefera e o @felipeneto viajando juntos!!!! E andando aquele truco q desmaya pessoas.
960,"Me oler no espero e pense "" Cara de cansado "". Hoje uma amiga disse que eu parecia diente e um amigo comento que eu emagreci muito.! Estou podre agora, imagina quando voltar minas aulas presencias."
961,Vieron el coso ese de Instagram que dice foto de cuando tenías 17 sin llorar? Bueno si lloré
962,Mas agora te picando triste porque quero sair
963,"recién voy jajaja ver el polaroid love cam ver, estoy lista para llorar"
964,"@mimixggukk Obvio no, solo si vienes temprano, te va jajaja dar chance que solo yo te vea llorar, porque también va estar Mariana"
965,"@gabrilamorim Tô é preocupado se o kendrick vai for o contrato professional com o palmeras ou no, pq tudo é possible"
966,"Eu tinha pensado num discurso bonitinho pra encerrar os 15 dias, mas aí eu to mío cansada e blá blá blá Eu tenho uma pairo enorme pela mayoria dos jugos que esto aqui, super vale jajaja pena conocer todos eles. É isto. Grata por acompanarme, vale flew"
967,pasar todo dia nunca fui triste
968,Estoy asi 🤏 de hecharme con todo jajaja la depresion
969,ansiosa pra call terca
970,"Meu pai com comida, mesmo ele no se importando cm fico preocupada 😪"
971,"@AdrianPAPU123 @ElDelJetpack @_biyin_ Estás confundiendo humor, con insultos, hay una diferencia entre reírte de alguien y CON alguien, yo he hecho humor negro hasta hoy en día y no me va mal, nadie se ofendió, hasta he hecho llorar de la risa jajaja los que se suponía que estaba "" acosando "" con mi humor"
972,Triste e puta
973,hay veces que no me sirve ni ponerme jajaja llorar
974,3 TEMP D BRINCANDO C FOGO NUNCA FUI TRISTE
975,"Eu disse pra minha amiga que ela era o Sunoo do meu Sunghoon. Ela no entender (ela n é eugene), aí eu explique e ela ficou toda esta e disse que eu fin ela se sentir melhor Nunca fui triste 💕💕💕"
976,perdón por dormir todo el día es tengo depresión
977,"@Fervstheworld Salió How I Met Your Father con Kim Cattrall como narrator, more like jajaja femenina perspectiva y el primer episodio me hizo llorar al final"
978,Estoy tan cansado que nada me salga bien
979,de Estoy tan cansada que me voy jajaja dormir ya. chauuuu lt; 33❤️❤️
980,"@meganoticiascl Si, es muy triste para esta blanca Paloma. Que solo quemaron medio chile y saquearon …"
981,"@Hechosanderecho Ya va siendo hora que el Periodismo Argentino, nos vaya dando algunas sugerencias jajaja la población, para cuidarnos entre todos de los chorros y no tanto, mostrarnos sus videos. Es muy triste.!"
982,que cansado estoy hoy hermano
983,eu te mt ansiosa com esse negócio do uld
984,por: le contas jajaja tu amigo que estas triste
985,"@lilian_tahan Muito triste! Quantas crianza perderas seus pais.É por no aguantamos mais tantas pierdas, que fossas crianza precisa ser vaciadas."
986,@yanisLeTracteur Ouai jajaja'pense aussi mais c'est triste mar
987,q cansada ando y pensar que al rato voy jajaja lograr
988,Demaciado gente vacía dando sus opiniones 😑
989,ola eu vou me matar to cansado desde inferno
990,"eu te tío cansado, meu deus"
991,"@biaassexual já tento fazer alguma refeição sem asistir casero? pq eu tente, e foi triste"
992,ansioso NEM TE CULPO NAIARA
993,"Amanhã é dia de foto de 1 ° do Chris, te tío ansiosa 😍😍😍"
994,"@Nintenderos Por favor que alguien me diga que me equivoco. Soy yo o su mundo parece super vacio y jajaja medio hacer?. Por favor, decidme que no voy jajaja comprar una mierda."
995,Pasen tips de como no llorar en un examen de matemáticas:)
996,@xoxolander Que triste uma notícia deseas
997,todavía no me creo q voy jajaja ver jajaja harry en un river AGOTADO es un sueño estoy viviendo 1 sueño
998,te ansiosa dos pro jugo do cruzeiros q isso de
999,me rio para no llorar
1000,"Queria ficar triste sem me sentir culpado por ta picando triste, porel nao posso ser triste que triste"
1001,mano ela ta desesperada pra dejar uma boca
1002,"Pra que ela no tenía que passar por tanta dificuldades. Um mundo onde nem o hip hop pode salvar ela de tanta injusticia é decadente, onde até jajaja cena do Rap é suya e podre é triste. Humilhante uma mulher precisar gritar ou ter que morrer para finalmente dizer que ela tinha razo."
1003,triste porque no puedo ir al concierto de harry
1004,amanda tem linn no bob e dijo dos andrei NUNCA FUI TRISTE
1005,la ansiedad me carcome
1006,🔔 La mujer más tatuada de Europa se ha cansado de verse así...
1007,to muito cansada e muito deprimida só queria ficar no quarto chocando ou me me de vez
1008,"@OLucaspreto Mano, es vezes eu entro no Tiktok pra marchar e passar o tempo e o que mais vejo agora so "" brutos "" e "" farmacéuticos espiritual "" em busca de likes e brincando com jajaja fé. Chega jajaja ser triste"
1009,"Como odio los días como hoy, donde todo me da ganas de llorar."
1010,"Áudio do pai da crianza de Lençóis Paulistas. Triste demas. Mas as agencias de chantage dijo que é exagero, fake news e negacionismo, né?"
1011,"Wordle (ES) #13 3/6 🟨⬛🟩🟩⬛ ⬛🟩🟩🟩🟩 🟩🟩🟩🟩🟩 Entienden que entro todos los días para tener mi nueva palabra, no? La ansiedad me va jajaja matar"
1012,"Empezar jajaja llorar por algo y aprovechar para llorar por otras 500 cosas que te pasan por la cabeza para ahorrar tiempo y lágrimas, esa es la que va"
1013,"Me da risa que cuando entro jajaja la sesión con la psicóloga, tipo yo entro, me siento y EMPIEZO jajaja LLORAR, ella no me dice nada, me mira fijo como recalculando Y jajaja los m empiezo jajaja contarle todo y jajaja dar mil detalles"
1014,"meu negócio é que sou ansiosa e quero que as coisas aconteçam pra pontem, só que eu sinto que vai valer jajaja pena essa espera"
1015,Basta me hace llorar
1016,bueno ahora que tengo todos los tomos de jj me lo voy jajaja releer todo y llorar en el proceso
1017,Cansada mas com contado terríble de transar
1018,@silverfox__65 jajaja ’ ai déja sorte avec une fille qui à 52 ans pouvait prender sa retracte d ’ une job qu ’ elle haïssait! Pourtant elle était incasable de le faire! Tellement triste
1019,Vi jajaja mi sobrina por la ventana y me largue jajaja llorar así soy
1020,Cansado desea merda toda
1021,Ya es mañana y ando bien nerviosa!! 🥺
1022,Quiero llorar y que me abracen nada más.
1023,"toy re triste, se muere mi abuela lo twitear de"
1024,"@XCHESHIREMIND se queda embobado al escucharle hablar japonés, ya que siempre le había parecido una lengua hermosa y la voz algo cansada del adverso la hacía escucharse aún más placentera. Pero espabiló poco después.... Baka... You just called me stupid, am I right? sonríe con amplitud, igt;"
1025,eu no sei o que pensar do finge dedos q voto meu deus eu te muito triste SO TA ACONTECENDO DESGRAÇA
1026,"Es bien cansado cuidarse uno con todas las medidas sanitarias y ver qué jajaja muchos les importa nada o muy poco esto. Todo lavo, limpio, extremo medidas y no para esto. 😔"
1027,te tío ansiosa e nerviosa dedos de ver meu examen de sangue pq vou precisar ir em mais alguns médicos e tomar alguns remédios novios e te com medo do meu pai e da reacio dele + preocupada pra saber se vou ter dinheiro pra pagar os remédios pq meu pai já vai gastar MT dinheiro
1028,"Existem conversas difícil mas que so inevitáveis e ha foi o dia de uma delas. Isso me dixon triste, sim, mas eu tava precisando desacatar.. de"
1029,Q tríste.
1030,triste e com tristeza kdk
1031,@outofcontexvic NOOO M PONGO jajaja LLORAR
1032,@_alejandrogeder @iamjessicafs07 @edd_brathwaite Ahora dilo sin llorar
1033,"@violemarylin Ohhhh pena gracias, es mira lo vi por el Google Maps y me salía como una parte vacía … entonces me dio como desconfianza, el señor se llama Patricio y la señora Paola tienen insta y recomendaciones, pero al ver el mapa me dio cosa por eso pregunté"
1034,@kirishmz amor to mt triste nos vamos nos separar ano que vem va quer isso
1035,"@carmelonetobr Johnson está desesperado!! Popularidade desatando agora que descubriran que encuanto jajaja populacho fazio lockdown, ele organizada estas."
1036,na real te preocupado é com jajaja minha me que fuma e tem o pulso todo fundido
1037,Aguardando ansiosa #VemLULAnoPrimeiroTurno
1038,"Que saturada me siento, la mínima palabra que me digan ya sea buena o mala me da ganas de llorar."
1039,Estoy triste
1040,"@rod_mud Sigues defendiendo lo indefendible, increíble! todos sabemos que la inflación en los países latino americanos es alta, pero este gobierno está haciendo Kaka todo, no nada más la inflación está alta, la delincuencia, la corrupción, la pobreza, ya despierta. Yo veo un México triste"
1041,"Ó meus tenéis, te muito triste com jajaja notícia: ((Espero que possum se recuperar logo e soltarme com todas as energias! Estou aqui com voces, mejoras de @by_EPEX"
1042,triste? sim. o que fazer pra mudar? no sei.
1043,ainda com jajaja voz cansada de cantar mais de 100 vezes oh na na what ’ s YOUR name? ” vida de profesora de inglés no é fácil
1044,"Não, é uma desesperada tentativa de engajamento."
1045,@iaxzerr triste estoy
1046,@Iouiefly dique mt triste lily
1047,"insinúa vai vi em casa amante, nunca fui triste 🙏"
1048,Aff to triste vou fazer uma tatoo
1049,sim ela fez mais de uma public por dia nos store mt cansada 😭
1050,Nada vai mudar minha opinión sobre jajaja morte da Gwen ter sido jajaja mais triste
1051,Tô me cansado de algumas pessoas mal.
1052,@IamCintra to triste kirk
1053,@xiaotingirasol WTF UN MONTON Q TRISTE ESTOY
1054,feliz e triste ao mesmo tempo
1055,@gratidaorafa Eu nem ligo se ela sair no mas se ele sair va fica triste 😂
1056,Va jajaja volver benedetto quiero llorar 🥺
1057,Eu te muito triste
1058,"jajaja dor que eu sinto com esse vídeo, só quem tava aqui na época sabe o quo triste foi esse dia pra ele, ladino 🥺"
1059,ANSIOSA
1060,"@creatusdark eu tinha um que botana mía coisa em cada ejercicio e eu jajaja cegada cansada só de sembrar do reino … prefiro reinos cuartos e mais intensos e com combinações do que com quita coisa assim kdk um dropzinho, pirámide, da resultado"
1061,@juliaramala jajaja tía yo intentando llorar jajaja secretaría pa q me cambien jajaja rip
1062,"jajaja mente do ansioso funciona jajaja 1000 por hora, as vezes resolver as coisas rápido, as vezes complica tudo"
1063,Desesperada me ligando aí quando eu mando mg no responde elaiaaaaa
